Date,Close,High,Low,Open,Volume
2023-06-06,3026.6884765625,3079.6412899002303,3015.732777260668,3071.354160553332,2022849
2023-06-07,3066.578369140625,3070.277286316849,3034.83489289913,3046.0715540268034,1567196
2023-06-08,3030.574462890625,3061.9903422464713,3027.3439683433767,3053.5628458916644,1759366
2023-06-09,3005.1513671875,3043.262329717565,3001.4526786934716,3038.5803876718455,1775689
2023-06-12,3040.359375,3047.3822879318213,3006.7431232105264,3010.4886767741646,2324605
2023-06-13,3037.36376953125,3057.30889317822,3032.9627886689905,3052.626950003368,1371928
2023-06-14,3044.24560546875,3048.7403155875077,3020.6486631083394,3037.3630591671727,1658544
2023-06-15,3034.1044921875,3063.4898285048657,3028.1613257663885,3061.4617128875702,2273810
2023-06-16,2995.0498046875,3018.1619412813734,2977.2205342964953,3015.897987371957,4156189
2023-06-19,3028.5390625,3032.7841491545632,2995.1444729417135,3009.2947617902573,1468186
2023-06-20,3044.858642578125,3049.3867803791018,3019.718392027336,3031.934760135633,1528452
2023-06-21,3073.631103515625,3076.6497854869594,3041.321280032402,3065.895658991995,1645987
2023-06-22,3055.047607421875,3082.5462454987173,3047.1235371554394,3075.3296897314535,1529603
2023-06-23,3034.15234375,3065.3299641297376,3027.3600205203866,3053.9155354174472,1119505
2023-06-26,3008.964599609375,3031.84090070026,2993.257870572284,3023.4451544860294,1978803
2023-06-27,3016.228271484375,3027.8313232300593,3002.0307699984146,3020.614768577434,863542
2023-06-28,3033.302734375,3047.9246980493767,3012.5017657954463,3026.274804348481,1575872
2023-06-30,3115.186279296875,3122.4972623128647,3032.0298355683235,3037.595524062666,2672406
2023-07-03,3086.9326171875,3130.798511071719,3083.5836695492567,3126.5534245667945,1687264
2023-07-04,3121.411865234375,3127.213390712792,3091.649049194268,3103.629579319784,1656681
2023-07-05,3131.88330078125,3140.420687553016,3117.7802260026187,3131.930514471617,1453008
2023-07-06,3134.666015625,3139.9016682049382,3114.9500399615063,3119.2423400157145,1848238
2023-07-07,3140.656494140625,3166.740100165481,3114.9501370135445,3114.9501370135445,1789326
2023-07-10,3086.602294921875,3136.4113550593956,3080.234665281556,3136.4113550593956,1407431
2023-07-11,3087.0263671875,3108.346224004476,3076.083617301522,3108.346224004476,1110172
2023-07-12,3075.23486328125,3102.8279251683052,3065.990192606951,3095.0924803766343,1515240
2023-07-13,3151.31640625,3176.692497714973,3087.357057312368,3097.9697734974616,4585146
2023-07-14,3315.5537109375,3325.176090508818,3162.1175217626333,3174.3811040367723,6306101
2023-07-17,3293.90380859375,3348.8068768716157,3280.083786885009,3311.1672050411403,2743228
2023-07-18,3298.7626953125,3324.3746267741794,3268.716822296405,3279.093701097346,2600090
2023-07-19,3273.48095703125,3317.6299077585563,3250.4630138484567,3301.734323249486,2405370
2023-07-20,3275.608642578125,3290.3630716712737,3249.8354394909547,3265.961471457686,1715404
2023-07-21,3185.757080078125,3248.747595113561,3177.0083781918497,3219.569630611566,3770223
2023-07-24,3210.773681640625,3228.460200845462,3189.351276356865,3197.7688541503653,1680132
2023-07-25,3214.93505859375,3222.1706100823844,3197.012088400793,3213.3745716953877,1272980
2023-07-26,3204.673095703125,3235.4591135410055,3201.551891104478,3216.0700991340213,1066803
2023-07-27,3212.80712890625,3226.7577622818967,3201.5994704688537,3210.9628540656236,1701769
2023-07-28,3173.55615234375,3209.7805545405377,3150.4785870897526,3201.552091653801,2599831
2023-07-31,3236.0263671875,3240.9445098873553,3178.7577946996307,3182.0681141392815,2743678
2023-08-01,3264.968505859375,3272.4876147460213,3229.926359640943,3229.926359640943,1956167
2023-08-02,3254.185791015625,3259.6241729578255,3228.6019354760515,3248.794745533095,1914899
2023-08-03,3215.691650390625,3247.187022531998,3185.4732081519755,3234.65509853912,2026351
2023-08-04,3256.928955078125,3282.8912728953396,3216.921331586077,3216.921331586077,2248493
2023-08-07,3295.234130859375,3298.970016892691,3254.7536039655884,3266.7652892098595,1853889
2023-08-08,3282.513427734375,3300.814629890344,3269.272147640101,3295.2344685001685,1634225
2023-08-09,3274.851806640625,3279.107931732288,3239.4314340041433,3277.12164765902,1794589
2023-08-10,3255.557373046875,3277.121554839543,3244.1603699978673,3263.029144521231,1096701
2023-08-11,3261.894287109375,3278.7767779421333,3228.9802071811523,3251.7742137198647,1679974
2023-08-14,3262.887451171875,3267.7582575131705,3226.142812265535,3254.2331916257763,1190425
2023-08-16,3270.97412109375,3278.1623362953906,3249.031476507618,3263.02944611053,1328445
2023-08-17,3249.552001953125,3273.2444814171304,3228.224036788729,3267.758762060117,1843241
2023-08-18,3184.62255859375,3225.197531954498,3174.596925514743,3225.197531954498,2526749
2023-08-21,3217.2998046875,3224.9609230728597,3189.256758589833,3192.094175634842,1375579
2023-08-22,3198.856201171875,3226.142784101909,3182.6830645466525,3215.738922880824,1222012
2023-08-23,3214.083740234375,3217.6305110799217,3193.039566550798,3204.3892332565474,1330046
2023-08-24,3204.15283203125,3228.0817592257495,3195.025900609642,3223.3053948970555,1152881
2023-08-25,3198.052490234375,3202.3086153928157,3168.6851804592197,3192.093868830644,1158046
2023-08-28,3192.614501953125,3210.0645710735944,3178.001849954995,3210.0645710735944,1037485
2023-08-29,3193.181640625,3205.855574832094,3182.636000031818,3197.8162268379574,944517
2023-08-30,3207.1796875,3223.4003932710566,3199.707915077835,3213.847663649171,1188200
2023-08-31,3174.880615234375,3232.1963020236335,3162.44313175206,3216.6851809304703,3417652
2023-09-01,3196.06640625,3205.335347801777,3174.8804520541516,3183.5818178521045,1277950
2023-09-04,3233.236328125,3246.80873036409,3187.412094623526,3194.931202693067,1828332
2023-09-05,3243.498779296875,3260.1921570729696,3220.6100972668646,3234.6554038844083,1501842
2023-09-06,3244.0185546875,3257.2598331675485,3213.9421211533327,3247.896450034771,1314818
2023-09-07,3267.995361328125,3272.4879387006185,3236.8311076313807,3244.870456613738,1885092
2023-09-08,3255.3681640625,3277.2163655298596,3248.8895343242925,3267.9947610381087,1518917
2023-09-11,3292.017822265625,3296.794186224064,3258.2999485436435,3274.3786420487936,1783604
2023-09-12,3386.74072265625,3395.3474150298325,3294.240889231488,3302.7531395912592,4476016
2023-09-13,3374.492919921875,3394.3548393912247,3352.881167564008,3377.5667884111795,1754929
